,event_number,time,event_condition,event_time,event_wait,event_volume,event_action,valve_state,energy_use,water_use,tempering_water_use,      boiler_1_1,boiler_1_2,boiler_1_3,boiler_1_4,boiler_1_5,boiler_1_6,boiler_1_7,boiler_1_8,boiler_1_9,boiler_1_10,boiler_1_11,boiler_1_12,      boiler_2_1,boiler_2_2,boiler_2_3,boiler_2_4,boiler_2_5,boiler_2_6,boiler_2_7,boiler_2_8,boiler_2_9,boiler_2_10,boiler_2_11,boiler_2_12,      boiler_3_1,boiler_3_2,boiler_3_3,boiler_3_4,boiler_3_5,boiler_3_6,boiler_3_7,boiler_3_8,boiler_3_9,boiler_3_10,boiler_3_11,boiler_3_12,      boiler_4_1,boiler_4_2,boiler_4_3,boiler_4_4,boiler_4_5,boiler_4_6,boiler_4_7,boiler_4_8,boiler_4_9,boiler_4_10,boiler_4_11,boiler_4_12,      inlet_temp_strap,inlet_temp_probe,outlet_temp_strap,outlet_temp_probe,thermostat_temp,ambient_temp,tempering_temp,other
263,4,14:34:26 28/6/24,time,14:35:0 28/6/24,,,,closed,229.37,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.17,0.00,0.00,0.00,0.00,68.10,110.00,110.00,110.00,72.23,110.00,110.00,110.00,0.00,33.07,110.00,26.13,110.00,110.00,110.00,110.00,110.00,98.50,110.00,110.00,110.00,0.00,110.00,71.10,110.00,110.00,0.00,110.00,0.00,67.50,101.60,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.00,20.65,-26.45,33.23,25.16,19.03,18.71,
264,4,14:34:27 28/6/24,time,14:35:0 28/6/24,,,,closed,230.00,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.40,0.00,0.00,0.00,0.00,67.93,110.00,110.00,110.00,72.10,110.00,110.00,110.00,0.00,33.27,110.00,26.23,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.33,110.00,110.00,0.00,110.00,0.00,67.53,101.53,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.00,21.94,6.77,32.26,25.16,19.03,18.39,
265,4,14:34:28 28/6/24,time,14:35:0 28/6/24,,,,closed,230.62,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.37,0.00,0.00,0.00,0.00,67.50,110.00,110.00,110.00,72.23,110.00,110.00,110.00,0.00,33.33,110.00,26.10,110.00,110.00,110.00,110.00,110.00,99.10,110.00,110.00,110.00,0.00,110.00,71.17,110.00,110.00,0.00,110.00,0.00,67.43,101.43,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.32,19.68,-50.00,32.58,25.48,19.35,18.39,
266,4,14:34:29 28/6/24,time,14:35:0 28/6/24,,,,closed,231.87,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.57,0.00,0.00,0.00,0.00,67.27,110.00,110.00,110.00,72.17,110.00,110.00,110.00,0.00,33.13,110.00,26.17,110.00,110.00,110.00,110.00,110.00,98.70,110.00,110.00,110.00,0.00,110.00,71.33,110.00,110.00,0.00,110.00,0.00,67.33,101.67,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.32,20.32,-50.00,32.90,25.16,19.03,18.71,
267,4,14:34:30 28/6/24,time,14:35:0 28/6/24,,,,closed,232.50,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.83,0.00,0.00,0.00,0.00,67.73,110.00,110.00,110.00,72.17,110.00,110.00,110.00,0.00,32.97,110.00,26.37,110.00,110.00,110.00,110.00,110.00,99.30,110.00,110.00,110.00,0.00,110.00,71.30,110.00,110.00,0.00,110.00,0.00,67.53,101.43,110.00,110.00,110.00,110.00,110.00,110.00,110.00,22.58,20.97,-50.00,32.90,25.48,19.03,18.39,
268,4,14:34:31 28/6/24,time,14:35:0 28/6/24,,,,closed,233.12,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.30,0.00,0.00,0.00,0.00,67.83,110.00,110.00,110.00,72.33,110.00,110.00,110.00,0.00,33.17,110.00,26.23,110.00,110.00,110.00,110.00,110.00,99.10,110.00,110.00,110.00,0.00,110.00,70.90,110.00,110.00,0.00,110.00,0.00,67.53,101.60,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.97,18.06,-13.87,32.90,25.16,19.03,18.71,
269,4,14:34:32 28/6/24,time,14:35:0 28/6/24,,,,closed,234.37,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.57,0.00,0.00,0.00,0.00,66.67,110.00,110.00,110.00,72.13,110.00,110.00,110.00,0.00,33.13,110.00,25.97,110.00,110.00,110.00,110.00,110.00,98.93,110.00,110.00,110.00,0.00,110.00,71.30,110.00,110.00,0.00,110.00,0.00,67.47,101.70,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.32,24.19,-10.00,32.90,25.81,19.03,18.39,
270,4,14:34:33 28/6/24,time,14:35:0 28/6/24,,,,closed,235.00,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.53,0.00,0.00,0.00,0.00,66.50,110.00,110.00,110.00,72.10,110.00,110.00,110.00,0.00,32.93,110.00,26.10,110.00,110.00,110.00,110.00,110.00,99.17,110.00,110.00,110.00,0.00,110.00,71.23,110.00,110.00,0.00,110.00,0.00,67.33,101.53,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.97,20.65,-50.00,32.58,25.48,19.03,18.39,
271,4,14:34:34 28/6/24,time,14:35:0 28/6/24,,,,closed,235.62,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.67,0.00,0.00,0.00,0.00,67.10,110.00,110.00,110.00,72.10,110.00,110.00,110.00,0.00,33.07,110.00,26.17,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.23,110.00,110.00,0.00,110.00,0.00,67.53,101.70,110.00,110.00,110.00,110.00,110.00,110.00,110.00,16.45,16.45,9.68,32.26,25.16,19.03,18.71,
272,4,14:34:35 28/6/24,time,14:35:0 28/6/24,,,,closed,236.87,48.00,0.00,110.00,110.00,0.00,0.00,0.00,67.90,0.00,0.00,0.00,0.00,67.13,110.00,110.00,110.00,72.17,110.00,110.00,110.00,0.00,33.37,110.00,25.97,110.00,110.00,110.00,110.00,110.00,99.10,110.00,110.00,110.00,0.00,110.00,71.23,110.00,110.00,0.00,110.00,0.00,67.50,101.50,110.00,110.00,110.00,110.00,110.00,110.00,110.00,17.42,22.26,12.26,32.58,25.48,19.35,18.39,
273,4,14:34:36 28/6/24,time,14:35:0 28/6/24,,,,closed,237.50,48.00,0.00,110.00,110.00,0.00,0.00,0.00,67.97,0.00,0.00,0.00,0.00,67.07,110.00,110.00,110.00,72.20,110.00,110.00,110.00,0.00,33.43,110.00,26.07,110.00,110.00,110.00,110.00,110.00,99.10,110.00,110.00,110.00,0.00,110.00,71.07,110.00,110.00,0.00,110.00,0.00,67.47,101.53,110.00,110.00,110.00,110.00,110.00,110.00,110.00,22.58,21.29,13.87,32.26,25.16,19.68,18.39,
274,4,14:34:37 28/6/24,time,14:35:0 28/6/24,,,,closed,238.12,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.27,0.00,0.00,0.00,0.00,66.40,110.00,110.00,110.00,71.77,110.00,110.00,110.00,0.00,33.37,110.00,26.00,110.00,110.00,110.00,110.00,110.00,99.03,110.00,110.00,110.00,0.00,110.00,71.07,110.00,110.00,0.00,110.00,0.00,67.43,101.70,110.00,110.00,110.00,110.00,110.00,110.00,110.00,19.68,20.00,-28.06,32.90,25.48,19.03,17.74,
275,4,14:34:38 28/6/24,time,14:35:0 28/6/24,,,,closed,239.37,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.23,0.00,0.00,0.00,0.00,67.83,110.00,110.00,110.00,72.37,110.00,110.00,110.00,0.00,33.17,110.00,26.17,110.00,110.00,110.00,110.00,110.00,99.30,110.00,110.00,110.00,0.00,110.00,71.10,110.00,110.00,0.00,110.00,0.00,67.50,101.50,110.00,110.00,110.00,110.00,110.00,110.00,110.00,21.29,20.97,-33.23,32.58,25.48,18.71,18.39,
